xMercuryAtSun,yMercuryAtSun,xVenusAtSun,yVenusAtSun,xEarthAtSun,yEarthAtSun,xMarsAtSun,yMarsAtSun,xMoonAtEarth,yMoonAtEarth,xPhobosAtMars,yPhobosAtMars,xDeimosAtMars,yDeimosAtMars
-21052621,-66406638,-107505550,-3366520,-25210928,144927919,207995054,-3143009,-317650,-241883,5117,7379,-19210,8488
-17856647,-67371145,-107386159,-6402542,-27785117,144455377,208095510,-871040,-262167,-304931,-1765,9000,2733,23302
-14608666,-68139441,-107181731,-9433493,-30350804,143937708,208173110,1401026,-194588,-354204,-7417,4254,20644,3723
-11318160,-68709387,-106892468,-12456979,-32907151,143375050,208227872,3672939,-118119,-387695,-7986,-3445,8052,-21350
-7994669,-69079059,-106518636,-15470610,-35453321,142767559,208259817,5944451,-36251,-404033,-3228,-8873,-16432,-14877
-4647809,-69246754,-106060572,-18472007,-37988476,142115418,208268969,8215314,47333,-402510,3651,-8470,-16651,13581
-1287302,-69210988,-105518677,-21458805,-40511782,141418830,208255355,10485280,128867,-383121,8081,-2441,7714,21986
2076999,-68970497,-104893420,-24428650,-43022410,140678021,208219004,12754102,204606,-346578,6956,5230,20690,-2056
5435088,-68524249,-104185337,-27379206,-45519535,139893243,208159950,15021534,270958,-294324,928,9190,3095,-23060
8776776,-67871456,-103395027,-30308154,-48002342,139064769,208078229,17287332,324623,-228518,-5765,6615,-19069,-9984
12091663,-67011587,-102523156,-33213194,-50470024,138192894,207973880,19551251,362731,-151993,-8461,-590,-13079,17843
15369114,-65944394,-101570453,-36092049,-52921788,137277935,207846944,21813048,382979,-68204,-5448,-7430,12224,19329
18598226,-64669931,-100537712,-38942464,-55356852,136320232,207697468,24072480,383781,18861,1162,-9380,19472,-7714
21767808,-63188592,-99425788,-41762208,-57774454,135320139,207525498,26329307,364406,104797,6993,-5144,-2045,-23362
24866346,-61501142,-98235598,-44549078,-60173847,134278032,207331086,28583287,325129,184933,8077,2544,-20542,-4479
27881981,-59608765,-96968122,-47300900,-62554305,133194297,207114286,30834181,267364,254552,3525,8426,-8709,21018
30802480,-57513114,-95624397,-50015528,-64915123,132069333,206875154,33081753,193766,309191,-3530,8310,15984,15496
33615217,-55216367,-94205522,-52690850,-67255619,130903545,206613749,35325763,108237,345018,-8115,2325,17064,-12904
36307147,-52721298,-92712653,-55324786,-69575129,129697336,206330134,37565978,15790,359265,-7155,-5284,-7062,-22238
38864794,-50031355,-91147002,-57915292,-71873009,128451106,206024375,39802161,-77793,350636,-1433,-9402,-20760,1294
41274237,-47150745,-89509839,-60460358,-74148621,127165247,205696537,42034081,-166493,319568,5227,-7341,-3803,22915
43521103,-44084536,-87802488,-62958015,-76401333,125840142,205346693,44261505,-244676,268245,8379,-395,18768,10720
45590581,-40838769,-86026325,-65406332,-78630508,124476167,204974916,46484202,-307677,200330,5753,6788,13614,-17306
47467430,-37420583,-84182782,-67803420,-80835501,123073702,204581281,48701943,-352186,120482,-933,9154,-11651,-19756
49136016,-33838352,-82273339,-70147430,-83015658,121633131,204165867,50914501,-376382,33818,-6967,5016,-19712,6984
50580366,-30101841,-80299528,-72436559,-85170314,120154851,203728755,53121649,-379841,-54577,-8180,-2631,1336,23414
51784239,-26222368,-78262928,-74669049,-87298801,118639277,203270028,55323162,-363318,-139993,-3891,-8539,20407,5289
52731240,-22212981,-76165167,-76843186,-89400447,117086840,202789774,57518817,-328479,-218287,2965,-8832,9334,-20648
53404957,-18088642,-74007917,-78957305,-91474584,115497992,202288081,59708392,-277672,-285969,7845,-3292,-15530,-16065
53789146,-13866417,-71792897,-81009790,-93520544,113873206,201765039,61891667,-213732,-340218,7386,4453,-17462,12248
53867968,-9565662,-69521867,-82999075,-95537665,112212972,201220744,64068424,-139852,-378875,1759,9051,6392,22485
53626283,-5208195,-67196629,-84923644,-97525295,110517799,200655290,66238445,-59483,-400429,-5117,7206,20801,-468
53050000,-818447,-64819026,-86782033,-99482785,108788216,200068777,68401515,23740,-404021,-8415,279,4487,-22728
52126505,3576427,-62390938,-88572832,-101409499,107024771,199461305,70557420,106076,-389464,-5981,-6871,-18461,-11393
50845152,7946507,-59914284,-90294684,-103304809,105228028,198832977,72705949,183763,-357274,425,-9484,-14145,16768
49197826,12259130,-57391017,-91946287,-105168098,103398573,198183899,74846891,253128,-308698,6546,-5861,11054,20186
47179552,16479049,-54823124,-93526396,-106998765,101537011,197514179,76980039,310727,-245734,8264,1667,19924,-6202
44789152,20568702,-52212626,-95033822,-108796223,99643964,196823926,79105185,353507,-171112,4267,8008,-633,-23421
42029901,24488666,-49561572,-96467432,-110559904,97720073,196113253,81222125,378977,-88241,-2744,8661,-20263,-6029
38910151,28198275,-46872043,-97826152,-112289259,95765994,195382273,83330656,385381,-1104,-7823,3167,-9963,20268
35443869,31656433,-44146146,-99108968,-113983763,93782398,194631103,85430576,371855,85893,-7503,-4548,15040,16656
31651028,34822604,-41386012,-100314925,-115642913,91769969,193859862,87521688,338545,168126,-2150,-9243,17830,-11553
27557786,37657953,-38593800,-101443126,-117266233,89729396,193068670,89603793,286694,240977,4620,-7863,-5719,-22683
23196402,40126578,-35771689,-102492738,-118853270,87661377,192257648,91676696,218671,300111,8313,-1282,-20827,-301
18604847,42196760,-32921879,-103462986,-120403600,85566607,191426923,93740205,137940,341768,6331,6139,-5173,22532
13826095,43842142,-30046589,-104353160,-121916820,83445782,190576619,95794127,48937,363079,-89,9223,18111,12109
8907114,45042724,-27148056,-105162608,-123392549,81299588,189706865,97838273,-43152,362368,-6448,5742,14650,-16195
3897611,45785610,-24228531,-105890743,-124830425,79128702,188817791,99872456,-132746,339395,-8305,-1783,-10460,-20559
-1151379,46065408,-21290282,-106537041,-126230097,76933789,187909529,101896491,-214317,295481,-4523,-8132,-20122,5445
-6188966,45884275,-18335586,-107101039,-127591217,74715505,186982213,103910193,-282900,233442,2259,-9115,-70,23421
-11165810,45251600,-15366732,-107582339,-128913443,72474493,186035977,105913383,-334545,157334,7544,-4101,20078,6820
-16035386,44183373,-12386018,-107980605,-130196424,70211397,185070960,107905881,-366628,72021,7744,3643,10576,-19846
-20755011,42701303,-9395748,-108295567,-131439810,67926861,184087299,109887509,-377962,-17302,2573,8827,-14559,-17181
-25286597,40831785,-6398233,-108527014,-132643243,65621536,183085134,111858093,-368718,-105570,-4415,7735,-18187,10864
-29597119,38604796,-3395785,-108674804,-133806366,63296085,182064609,113817459,-340202,-188174,-8294,1159,5032,22882
-33658814,36052803,-390721,-108738855,-134928827,60951184,181025866,115765438,-294597,-261168,-6466,-6248,20818,1113
-37449146,33209743,2614642,-108719150,-136010275,58587524,179969051,117701859,-234705,-321348,-312,-9508,5855,-22288
-40950584,30110132,5617994,-108615736,-137050372,56205810,178894309,119626558,-163739,-366265,6048,-6519,-17766,-12757
-44150244,26788305,8617021,-108428721,-138048788,53806758,177801789,121539369,-85178,-394189,8374,785,-15141,15624
-47039453,23277818,11609418,-108158279,-139005204,51391100,176691640,123440130,-2656,-404081,4966,7518,9828,20948
-49613258,19610986,14592886,-107804647,-139919315,48959578,175564013,125328680,80101,-395572,-1929,8933,20287,-4657
-51869930,15818559,17565132,-107368122,-140790829,46512946,174419060,127204864,159354,-368971,-7457,3991,772,-23370
-53810486,11929510,20523877,-106849066,-141619467,44051972,173256935,129068523,231412,-325282,-7791,-3763,-19887,-7556
-55438236,7970917,23466851,-106247903,-142404968,41577434,172077791,130919505,292744,-266242,-2851,-9005,-11172,19429
-56758371,3967916,26391796,-105565117,-143147086,39090124,170881785,132757659,340118,-194342,3978,-8313,14028,17735
-57777603,-56284,29296472,-104801255,-143845597,36590843,169669073,134582835,370779,-112817,8175,-2146,18519,-10141
-58503848,-4080348,32178653,-103956924,-144500296,34080407,168439815,136394886,382656,-25582,6845,5438,-4358,-23025
-58945953,-8084732,35036133,-103032791,-145111005,31559636,167194169,138193667,374566,62908,755,9204,-20796,-1892
-59113468,-12051580,37866723,-102029585,-145677572,29029361,165932296,139979037,346391,147885,-5864,6422,-6526,22046
-59016457,-15964614,40668258,-100948091,-146199873,26490410,164654357,141750853,299188,224547,-8358,-908,17374,13436
-58665342,-19809017,43438595,-99789156,-146677812,23943612,163360515,143508980,235205,288385,-5120,-7651,15620,-15004
-58070774,-23571315,46175614,-98553681,-147111322,21389790,162050934,145253279,157797,335512,1536,-9320,-9220,-21272
-57243536,-27239261,48877222,-97242628,-147500358,18829756,160725776,146983618,71248,362965,7182,-4865,-20436,3891
-56194459,-30801731,51541353,-95857014,-147844900,16264306,159385210,148699865,-19487,368937,8027,2811,-1483,23319
-54934365,-34248615,54165969,-94397911,-148144944,13694225,158029399,150401890,-109112,352948,3358,8521,19659,8318
-53474018,-37570726,56749064,-92866446,-148400500,11120279,156658512,152089567,-192352,315912,-3668,8196,11765,-18955
-51824093,-40759709,59288663,-91263802,-148611586,8543217,155272716,153762770,-264342,260088,-8097,2040,-13515,-18224
-49995151,-43807960,61782823,-89591213,-148778227,5963774,153872181,155421377,-320991,188926,-6901,-5564,-18828,9438
-47997628,-46708553,64229636,-87849967,-148900444,3382674,152457075,157065267,-359280,106779,-1048,-9450,3650,23170
-45841824,-49455173,66627230,-86041402,-148978261,800634,151027569,158694321,-377448,18542,5504,-7115,20742,2697
-43537904,-52042056,68973771,-84166908,-149011698,-1781634,149583833,160308424,-375046,-70744,8409,-90,7188,-21750
-41095902,-54463934,71267462,-82227922,-149000771,-4363415,148126040,161907461,-352841,-156264,5612,6962,-16985,-14064
-38525727,-56715992,73506547,-80225932,-148945502,-6943989,146654362,163491322,-312633,-233708,-1094,9121,-16071,14408
-35837172,-58793820,75689309,-78162471,-148845911,-9522629,145168971,165059895,-257017,-299463,-7018,4788,8565,21608
-33039930,-60693376,77814077,-76039119,-148702030,-12098603,143670041,166613073,-189135,-350689,-8014,-2935,20558,-3085
-30143606,-62410958,79879219,-73857503,-148513898,-14671168,142157745,168150752,-112477,-385337,-3532,-8689,2172,-23216
-27157737,-63943172,81883150,-71619290,-148281562,-17239576,140632259,169672828,-30722,-402114,3307,-8690,-19419,-9043
-24091806,-65286909,83824332,-69326194,-148005086,-19803074,139093757,171179200,52379,-400445,7968,-2980,-12337,18496
-20955266,-66439324,85701272,-66979965,-147684545,-22360901,137542414,172669769,133079,-380435,7290,4696,12959,18726
-17757559,-67397821,87512525,-64582400,-147320027,-24912293,135978406,174144438,207696,-342866,1590,9100,19120,-8681
-14508135,-68160039,89256695,-62135328,-146911635,-27456480,134401910,175603113,272687,-289199,-5221,7049,-2971,-23263
-11216480,-68723844,90932438,-59640622,-146459488,-29992688,132813102,177045702,324744,-221608,-8337,-12,-20670,-3465
-7892132,-69087321,92538459,-57100186,-145963723,-32520136,131212159,178472114,360925,-143002,-5680,-7099,-7853,21455
-4544713,-69248773,94073516,-54515961,-145424495,-35038039,129599258,179882260,378841,-57016,801,-9446,16561,14703
-1183949,-69206721,95536420,-51889924,-144841981,-37545608,127974576,181276055,376884,32050,6762,-5579,16512,-13751
2180305,-68959910,96926035,-49224080,-144216384,-40042054,126338293,182653415,354455,119403,8235,1965,-7931,-21890
5538038,-68507314,98241280,-46520467,-143547932,-42526586,124690585,184014257,312172,200024,4107,8139,-20658,2324
8879052,-67848153,99481131,-43781152,-142836882,-44998422,123031630,185358502,251970,269035,-2884,8582,-2887,23107
12192943,-66981904,100644618,-41008230,-142083521,-47456793,121361609,186686072,177062,322123,-7823,2914,19149,9786
15469066,-65908328,101730830,-38203821,-141288158,-49900944,119680698,187996890,91745,355926,-7281,-4823,12894,-17983
18696513,-64627489,102738914,-35370072,-140451123,-52330141,117989076,189290884,1067,368337,-1777,-9312,-12407,-19181
21864080,-63139791,103668073,-32509151,-139572765,-54743676,116286924,190567981,-89573,358664,4916,-7646,-19386,7967
24960244,-61446012,104517572,-29623249,-138653441,-57140859,114574418,191828111,-174852,327647,8369,-954,2259,23351
27973134,-59547349,105286734,-26714577,-137693514,-59521025,112851739,193071208,-249893,277348,6200,6348,20568,4274
30890508,-57445469,105974943,-23785364,-136693352,-61883530,111119066,194297204,-310581,210950,-250,9223,8489,-21115
33699724,-55142569,106581643,-20837857,-135653318,-64227742,109376578,195506037,-353793,132485,-6511,5549,-16129,-15298
36387725,-52641443,107106342,-17874318,-134573775,-66553047,107624453,196697645,-377538,46535,-8169,-2069,-16932,13120
38941022,-49945559,107548605,-14897021,-133455082,-68858837,105862871,197871967,-381013,-42084,-4188,-8294,7268,22169
41345679,-47059149,107908064,-11908254,-132297596,-71144511,104092011,199028945,-364564,-128636,2609,-8992,20732,-1501
43587311,-43987309,108184410,-8910315,-131101669,-73409472,102312052,200168524,-329579,-208724,7694,-3779,3570,-22955
45651091,-40736113,108377399,-5905510,-129867656,-75653121,100523172,201290650,-278320,-278507,7663,3923,-18867,-10479
47521767,-37312734,108486850,-2896152,-128595913,-77874860,98725552,202395271,-213716,-334842,2405,8911,-13446,17475
49183692,-33725589,108512644,115438,-127286800,-80074087,96919368,203482335,-139158,-375358,-4526,7613,11830,19637
50620883,-29984486,108454726,3126940,-125940686,-82250199,95104800,204551795,-58313,-398468,-8240,894,19630,-7190
51817094,-26100794,108313106,6136030,-124557945,-84402592,93282027,205603604,25032,-403349,-6197,-6479,-1565,-23394
52755926,-22087618,108087857,9140382,-123138965,-86530660,91451225,206637718,107090,-389900,58,-9491,-20452,-5021
53420967,-17959982,107779114,12137673,-121684141,-88633797,89612575,207654093,184155,-358706,6287,-6240,-9137,20766
53795984,-13735020,107387079,15125586,-120193881,-90711398,87766252,208652688,252680,-311014,8367,1114,15667,15908
53865155,-9432160,106912015,18101803,-118668605,-92762856,85912435,209633465,309344,-248727,4810,7685,17327,-12441
53613363,-5073301,106354252,21064019,-117108747,-94787567,84051300,210596385,351145,-174418,-2073,8887,-6606,-22404
53026558,-682955,105714181,24009934,-115514754,-96784925,82183026,211541414,375524,-91343,-7474,3771,-20788,738
52092178,3711637,104992257,26937258,-113887089,-98754326,80307789,212468516,380548,-3430,-7602,-4028,-4269,22792
50799648,8080467,104188999,29843716,-112226236,-100695167,78425765,213377661,365129,84795,-2498,-9092,18548,11210
49140937,12390793,103304987,32727043,-110532700,-102606848,76537130,214268817,329269,168378,4289,-8110,13968,-16929
47111179,16607287,102340867,35584991,-108807010,-104488778,74642060,215141956,274278,242235,8257,-1799,-11248,-20044
44709324,20692324,101297345,38415331,-107049719,-106340377,72740731,215997050,202872,301578,6723,5686,-19857,6451
41938793,24606430,100175189,41215851,-105261408,-108161085,70833318,216834075,119103,342407,591,9239,859,23427
38808106,28308913,98975230,43984360,-103442674,-109950366,68919995,217653007,28064,361958,-5939,6262,20299,5823
35331411,31758678,97698357,46718688,-101594132,-111707712,67000937,218453824,-64572,359009,-8252,-1173,9759,-20379
31528870,34915224,96345522,49416693,-99716405,-113432645,65076318,219236505,-153099,333967,-4815,-7823,-15205,-16458
27426833,37739787,94917736,52076254,-97810115,-115124715,63146311,220001032,-232268,288743,1888,-9218,-17714,11771
23057743,40196576,93416069,54695281,-95875884,-116783494,61211089,220747388,-297682,226471,7357,-4537,5931,22634
18459739,42254020,91841650,57271712,-93914326,-118408579,59270825,221475557,-346021,151160,7964,3125,20812,78
13675935,43885945,90195666,59803515,-91926049,-119999580,57325692,222185525,-375143,67339,3191,8641,4954,-22586
8753404,45072562,88479359,62288692,-89911652,-121556121,55375861,222877280,-384086,-20261,-3787,8105,-18230,-11870
3741915,45801202,86694030,64725276,-87871728,-123077833,53421503,223550812,-372993,-106989,-8067,1803,-14488,16378
-1307478,46066708,84841032,67111341,-85806865,-124564357,51462789,224206110,-343004,-188485,-6666,-5792,10639,20461
-6343912,45871469,82921774,69444992,-83717644,-126015336,49499889,224843168,-296112,-260865,-690,-9455,20052,-5670
-11318118,45225088,80937720,71724377,-81604647,-127430416,47532973,225461980,-235005,-320855,5762,-6843,-155,-23414
-16183675,44143746,78890383,73947684,-79468453,-128809247,45562211,226062540,-162896,-365881,8425,263,-20141,-6562
-20898034,42649313,76781330,76113140,-77309644,-130151478,43587770,226644845,-83349,-394119,5461,7168,-10376,19987
-25423256,40768312,74612176,78219018,-75128804,-131456761,41609820,227208894,-125,-404509,-1245,9107,14698,17039
-29726479,38530814,72384586,80263635,-72926523,-132724748,39628528,227754687,82961,-396738,-7054,4598,18069,-11069
-33780103,35969343,70100273,82245355,-70703395,-133955096,37644060,228282224,162161,-371206,-7859,-3186,-5260,-22812
-37561751,33117869,67760996,84162587,-68460023,-135147460,35656584,228791509,233886,-328992,-3204,-8791,-20822,-854
-41054042,30010911,65368560,86013793,-66197017,-136301503,33666265,229282545,294791,-271818,3625,-8505,-5633,22376
-44244230,26682790,62924812,87797481,-63914994,-137416887,31673269,229755338,341854,-202028,8075,-2619,17864,12575
-47123763,23167026,60431644,89512213,-61614584,-138493280,29677759,230209894,372464,-122579,7180,4982,14985,-15790
-49687794,19495892,57890987,91156604,-59296423,-139530354,27679901,230646223,384547,-37026,1421,9169,-10042,-20816
-51934690,15700084,55304813,92729322,-56961165,-140527783,25679858,231064333,376722,50503,-5309,6919,-20234,4909
-53865542,11808519,52675132,94229091,-54609474,-141485248,23677793,231464235,348504,135400,-8260,-255,-552,23397
-55483723,7848213,50003991,95654691,-52242034,-142402437,21673867,231845942,300531,212747,-5408,-7277,19941,7340
-56794479,3844242,47293470,97004960,-49859548,-143279049,19668243,232209467,234760,277626,1147,-9366,10985,-19546
-57804562,-180243,44545685,98278794,-47462740,-144114799,17661081,232554824,154564,325555,6959,-5252,-14209,-17550
-58521920,-4203965,41762782,99475149,-45052352,-144909426,15652543,232882031,64628,353003,8191,2311,-18410,10377
-58955425,-8207433,38946939,100593041,-42629143,-145662697,13642786,233191105,-29394,357880,3938,8297,4562,22993
-59114644,-12172842,36100361,101631548,-40193877,-146374412,11631971,233482063,-121439,339833,-3015,8521,20799,1660
-59009657,-16083962,33225279,102589810,-37747320,-147044402,9620256,233754927,-205670,300285,-7817,2704,6310,-22112
-58650891,-19926018,30323952,103467030,-35290230,-147672532,7607798,234009717,-277047,242188,-7082,-5044,-17506,-13216
-58049005,-23685575,27398658,104262476,-32823353,-148258687,5594754,234246455,-331711,169605,-1440,-9337,-15462,15212
-57214782,-27350424,24451701,104975480,-30347423,-148802775,3581281,234465165,-367142,87235,5188,-7388,9401,21186
-56159055,-30909473,21485401,105605438,-27863156,-149304716,1567535,234665872,-382144,-14,8409,-578,20387,-4116
-54892643,-34352643,18502097,106151815,-25371257,-149764441,-446330,234848602,-376716,-87352,6054,6593,1247,-23328
-53426310,-37670772,15504143,106614139,-22872423,-150181887,-2460160,235013382,-351883,-170336,-411,9242,-19734,-8075
-51770724,-40855530,12493908,106992007,-20367337,-150556998,-4473802,235160240,-309514,-245026,-6564,5387,-11573,19116
-49936446,-43899335,9473772,107285084,-17856680,-150889721,-6487102,235289205,-252156,-308084,-8047,-2304,13670,18085
-47933905,-46795280,6446125,107493101,-15341125,-151180006,-8499908,235400308,-182875,-356836,-3890,-8410,18730,-9640
-45773398,-49537069,3413367,107615859,-12821341,-151427808,-10512069,235493581,-105115,-389318,2928,-8829,-3890,-23118
-43465085,-52118954,377900,107653226,-10297997,-151633083,-12523435,235569056,-22560,-404295,7826,-3410,-20760,-2437
-41018997,-54535681,-2657864,107605140,-7771760,-151795789,-14533855,235626767,61000,-401268,7567,4244,-6981,21853
-38445038,-56782448,-5691519,107471606,-5243297,-151915889,-16543180,235666749,141792,-380461,2229,9016,17104,13879
-35752998,-58854856,-8720652,107252701,-2713278,-151993346,-18551263,235689038,216174,-342800,-4630,7510,15929,-14578
-32952566,-60748876,-11742854,106948567,-182376,-152028130,-20557954,235693671,280736,-289871,-8192,673,-8785,-21497
-30053347,-62460814,-14755721,106559419,2348732,-152020212,-22563107,235680686,332405,-223884,-5961,-6659,-20518,3352
-27064874,-63987286,-17756854,106085538,4879366,-151969568,-24566577,235650122,368524,-147632,390,-9435,-1964,23257
-23996629,-65325190,-20743863,105527274,7408839,-151876181,-26568217,235602019,386963,-64451,6503,-5919,19493,8829
-20858066,-66471690,-23714366,104885047,9936455,-151740036,-28567882,235536418,386220,21828,8344,1487,12153,-18629
-17658624,-67424197,-26665994,104159344,12461512,-151561127,-30565430,235453361,365569,106949,4640,7881,-13142,-18564
-14407756,-68180358,-29596394,103350720,14983296,-151339454,-32560715,235352891,325223,186334,-2218,8855,-19025,8937
-11114948,-68738045,-32503225,102459798,17501082,-151075028,-34553597,235235053,266507,255283,-7492,3584,3176,23244
-7789742,-69095349,-35384167,101487269,20014129,-150767873,-36543933,235099891,192016,309270,-7439,-4241,20691,3244
-4441761,-69250581,-38236920,100433887,22521683,-150418032,-38531582,234947450,105657,344354,-2186,-9137,7633,-21542
-1080734,-69202267,-41059203,99300477,25022977,-150025570,-40516404,234777779,12526,357673,4569,-7870,-16699,-14497
2283477,-68949161,-43848762,98087924,27517234,-149590587,-42498260,234590925,-81456,347898,8321,-1408,-16372,13971
5640857,-68490243,-46603367,96797182,30003680,-149113210,-44477010,234386936,-170132,315516,6585,5969,8127,21812
8981203,-67824742,-49320816,95429267,32481544,-148593605,-46452518,234165863,-247781,262825,417,9290,20626,-2537
12294103,-66952142,-51998937,93985258,34950072,-148031964,-48424645,233927754,-309722,193623,-6013,6125,2649,-23138
15568904,-65872213,-54635588,92466296,37408531,-147428503,-50393256,233672663,-352685,112693,-8163,-1391,-19239,-9542
18794690,-64585030,-57228663,90873584,39856206,-146783455,-52358214,233400641,-374924,25244,-4552,-7949,-12723,18151
21960248,-63091008,-59776087,89208384,42292404,-146097062,-54319385,233111741,-376111,-63563,2201,-9079,12581,19049
25054045,-61390936,-62275826,87472020,44716450,-145369574,-56276635,232806017,-357111,-148960,7511,-4169,19302,-8169
28064198,-59486025,-64725880,85665871,47127681,-144601245,-58229830,232483523,-319726,-226755,7884,3479,-2492,-23320
30978453,-57377960,-67124294,83791374,49525450,-143792329,-60178838,232144317,-266469,-293439,3007,8783,-20605,-4003
33784156,-55068952,-69469151,81850022,51909115,-142943086,-62123527,231788453,-200365,-346213,-3911,8029,-8296,21226
36468239,-52561815,-71758578,79843364,54278044,-142053776,-64063766,231415990,-124802,-382999,-8047,1603,16263,15127
39017197,-49860040,-73990750,77772998,56631614,-141124661,-65999424,231026984,-43402,-402438,-6468,-5972,16797,-13306
41417082,-46967885,-76163886,75640579,58969204,-140156005,-67930373,230621496,40083,-403885,-378,-9422,-7481,-22079
43653495,-43890473,-78276253,73447809,61290199,-139148076,-69856483,230199585,121890,-387408,5992,-6536,-20712,1777
45711596,-40633910,-80326168,71196440,63593987,-138101142,-71777627,229761310,198335,-353774,8424,659,-3360,23009
47576120,-37205405,-82312001,68888271,65879957,-137015475,-73693677,229306734,265940,-304432,5291,7403,18952,10285
49231411,-33613414,-84232171,66525148,68147500,-135891347,-75604507,228835917,321532,-241483,-1408,9105,13266,-17629
50661476,-29867793,-86085152,64108961,70396007,-134729036,-77509991,228348923,362363,-167629,-7095,4434,-12016,-19489
51850063,-25979960,-87869475,61641643,72624866,-133528823,-79410005,227845816,386212,-86113,-7732,-3389,-19557,7446
52780770,-21963075,-89583724,59125167,74833463,-132290992,-81304424,227326658,391495,-644,-2923,-8853,1782,23389
53437191,-17832224,-91226542,56561547,77021181,-131015835,-83193125,226791516,377375,84692,3907,-8288,20485,4813
53803098,-13604608,-92796631,53952833,79187396,-129703651,-85075985,226240454,343873,165553,8163,-2221,8927,-20872
53862689,-9299729,-94292752,51301113,81331480,-128354745,-86952883,225673539,291986,237492,7051,5301,-15821,-15706
53600875,-4939561,-95713724,48608508,83452796,-126969437,-88823698,225090837,223795,296170,1234,9253,-17209,12658
53003644,-548698,-97058432,45877172,85550699,-125548059,-90688309,224492417,142530,337649,-5406,6804,6814,22341
52058488,3845534,-98325821,43109288,87624537,-124090964,-92546597,223878346,52551,358753,-8203,-458,20769,-955
50754901,8213047,-99514898,40307070,89673651,-122598529,-94398443,223248694,-40827,357485,-5181,-7410,4047,-22839
49084940,12521014,-100624735,37472756,91697383,-121071157,-96243729,222603530,-131712,333392,1448,-9253,-18660,-10964
47043846,16734036,-101654471,34608613,93695080,-119509286,-98082338,221942924,-214176,287785,7132,-4891,-13811,17102
44630695,20814424,-102603307,31716926,95666103,-117913381,-99914154,221266947,-282902,223688,8129,2693,11427,19932
41849054,24722659,-103470512,28800005,97609836,-116283935,-101739060,220575672,-333750,145506,3747,8475,19784,-6668
38707607,28418024,-104255419,25860177,99525685,-114621460,-103556942,219869169,-364107,58485,-3159,8469,-1082,-23412
35220680,31859428,-104957432,22899786,101413085,-112926480,-105367686,219147513,-372963,-31873,-7825,2521,-20357,-5557
31408621,35006405,-105576018,19921194,103271496,-111199527,-107171178,218410776,-360760,-120322,-6921,-5222,-9566,20506
27297967,37820266,-106110715,16926772,105100397,-109441133,-108967306,217659032,-329106,-202196,-1152,-9327,15342,16310
22921341,40265329,-106561128,13918904,106899288,-107651829,-110755958,216892356,-280467,-273594,5427,-7101,17591,-11972
18317044,42310171,-106926930,10899984,108667682,-105832147,-112537022,216110823,-217891,-331432,8431,-168,-6149,-22556
13528326,43928798,-107207862,7872412,110405104,-103982617,-114310389,215314509,-144804,-373431,5887,6866,-20812,184
8602359,45101629,-107403734,4838593,112111091,-102103769,-116075948,214503491,-64846,-398081,-593,9268,-4737,22659
3588974,45816218,-107514425,1800937,113785189,-100196131,-117833591,213677845,18232,-404599,-6632,5240,18323,11691
-1460761,46067639,-107539883,-1238147,115426951,-98260233,-119583210,212837649,100666,-392905,-7955,-2499,14325,-16542
-6496012,45858503,-107480122,-4276251,117035939,-96296603,-121324697,211982981,178756,-363610,-3643,-8486,-10842,-20321
-11467580,45198626,-107335229,-7310968,118611720,-94305770,-123057945,211113920,248965,-318001,3206,-8639,-19998,5917
-16329147,44104374,-107105353,-10339897,120153870,-92288263,-124782849,210230545,308020,-258033,7936,-3013,375,23429
-21038293,42597773,-106790717,-13360645,121661964,-90244611,-126499304,209332936,353034,-186297,7451,4596,20187,6353
-25557229,40705469,-106391608,-16370824,123135583,-88175344,-128207204,208421173,381631,-105969,2028,9134,10187,-20100
-29853251,38457623,-105908382,-19368060,124574308,-86080992,-129906448,207495337,392075,-20728,-4752,7415,-14872,-16846
-33898918,35886819,-105341460,-22349991,125977722,-83962090,-131596931,206555510,383392,65357,-8167,483,-17963,11292
-37672009,33027054,-104691332,-25314269,127345403,-81819177,-133278551,205601773,355477,147976,-5772,-6797,5463,22770
-41155287,29912852,-103958551,-28258562,128676930,-79652797,-134951207,204634208,309178,222752,673,-9349,20819,626
-44336142,26578517,-103143738,-31180558,129971877,-77463504,-136614798,203652899,246351,285447,6692,-5573,5425,-22431
-47206141,23057540,-102247578,-34077962,131229818,-75251864,-138269225,202657929,169884,332210,8302,1891,-17992,-12345
-49760543,19382147,-101270818,-36948503,132450322,-73018458,-139914387,201649383,83652,359846,4444,8097,-14831,15981
-51997800,15582986,-100214270,-39789935,133632959,-70763884,-141550187,200627343,-7599,366129,-2386,8827,10218,20724
-53919082,11688916,-99078810,-42600035,134777301,-68488764,-143176527,199591897,-98496,350090,-7529,3416,20179,-5133
-55527825,7726895,-97865371,-45376608,135882925,-66193742,-144793310,198543128,-183406,312266,-7315,-4416,326,-23395
-56829325,3721941,-96574952,-48117489,136949425,-63879491,-146400439,197481122,-256933,254792,-1927,-9148,-20013,-7094
-57830374,-302852,-95208608,-50820541,137976412,-61546705,-147997819,196405967,-314449,181294,4812,-7608,-10794,19694
-58538953,-4326263,-93767454,-53483662,138963524,-59196101,-149585354,195317748,-352567,96555,8367,-991,14353,17412
-58963958,-8328854,-92252664,-56104782,139910426,-56828408,-151162952,194216554,-369422,6007,6424,6277,18309,-10576
